audio_url,ref_text
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_0.wav?raw=true,"As they sat down, a burst of applause drew Alexander's attention to the stage."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_1.wav?raw=true,"To teach Cosette to read, and to let her play, this constituted nearly the whole of Jean Valjean's existence."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_2.wav?raw=true,"COMMON SALT. By this we mean salt used for cooking purposes, which is found in great abundance both on land and in the waters of the ocean."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_3.wav?raw=true,"Work the whole well together, and the forcemeat will be ready for use."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_4.wav?raw=true,"It was a soft gray day outside, with heavy clouds working across the sky, and occasional squalls of snow."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_5.wav?raw=true,"He appeared more and more puzzled, and then retired, returning with two others much like himself."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_6.wav?raw=true,"But by and by they came to my watch, which I had hidden away in the inmost pocket that I had, and had forgotten when they began their search."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_7.wav?raw=true,"He had gambled and lost a great deal, and his brother was his most bitter enemy, because he was infatuated with the idea that he had tried to poison him."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_8.wav?raw=true,God had evidently instructed your guardian angel to bring you to me.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_9.wav?raw=true,"As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gait, and he suspected others, feeling that he himself was suspected."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_10.wav?raw=true,"Poor rations did not suit him, and he demanded why his favorite dishes were not forthcoming."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_11.wav?raw=true,"""Oh, no,"" responded Tourmaline quickly; ""that would indeed be very wrong."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_12.wav?raw=true,"He didn't see anything to run from, but the other soldiers began to run, and Jim run, too."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_13.wav?raw=true,"Jim tried to beg off, but all entreaty was in vain. He wanted to go by home and tell his wife and children good bye, and to get his clothes."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_14.wav?raw=true,"This effectually quieted the boy for the night, and the camp settled down to silence and to sleep."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_15.wav?raw=true,"And yet what could he mean by the bones of our mother?"""
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_16.wav?raw=true,How could she? She had not seen Christ rise; she had never looked upon one of the dead; never heard a voice from the other bank; had received no certain testimony.
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_17.wav?raw=true,"It hurt terribly when he stuck the pin into the foot of the youngest, but she did not stir."
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_18.wav?raw=true,"Shall I say that she may expect an early visit from you, when I see her to morrow?"
https://github.com/yseom1/samples/blob/main/ZS/Normal/gt/0_0_0_19.wav?raw=true,You seem to have forgotten that the woman at Buck's Hotel is described as a Widow.
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_0.wav?raw=true,"As they sat down, a burst of applause drew Alexander's attention to the stage."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_1.wav?raw=true,"To teach Cosette to read, and to let her play, this constituted nearly the whole of Jean Valjean's existence."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_2.wav?raw=true,"COMMON SALT. By this we mean salt used for cooking purposes, which is found in great abundance both on land and in the waters of the ocean."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_3.wav?raw=true,"Work the whole well together, and the forcemeat will be ready for use."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_4.wav?raw=true,"It was a soft gray day outside, with heavy clouds working across the sky, and occasional squalls of snow."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_5.wav?raw=true,"He appeared more and more puzzled, and then retired, returning with two others much like himself."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_6.wav?raw=true,"But by and by they came to my watch, which I had hidden away in the inmost pocket that I had, and had forgotten when they began their search."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_7.wav?raw=true,"He had gambled and lost a great deal, and his brother was his most bitter enemy, because he was infatuated with the idea that he had tried to poison him."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_8.wav?raw=true,God had evidently instructed your guardian angel to bring you to me.
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_9.wav?raw=true,"As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gait, and he suspected others, feeling that he himself was suspected."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_10.wav?raw=true,"Poor rations did not suit him, and he demanded why his favorite dishes were not forthcoming."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_11.wav?raw=true,"""Oh, no,"" responded Tourmaline quickly; ""that would indeed be very wrong."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_12.wav?raw=true,"He didn't see anything to run from, but the other soldiers began to run, and Jim run, too."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_13.wav?raw=true,"Jim tried to beg off, but all entreaty was in vain. He wanted to go by home and tell his wife and children good bye, and to get his clothes."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_14.wav?raw=true,"This effectually quieted the boy for the night, and the camp settled down to silence and to sleep."
https://github.com/yseom1/samples/blob/main/ZS/Normal/infinityTTS/0_0_3_15.wav?raw=true,"And yet what could he mean by the bones of our mother?"""
